,LABEL,TEXT,PROCESSED_TEXT
0,-1,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pl reply
1,-1,What's up? Do you want me to come online? If you are free we can talk sometime�,want come online free talk
2,-1,So u workin overtime nigpun?,u workin overtime nigpun
3,-1,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",sir send email log usc payment portal i.ll send message explain thing home great weekend
4,1,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,stay home encourage notion stay home tax pay citizen entitle 305.96 emergency refund smsg.io/fcvbd
5,1,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,bankofamerica alert 137943 follow http://bit.do/cgjk-and activate
6,-1,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,sorry dude nt know forget dan remind sorry hope guy fun
7,-1,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,know hold cud pick bout 7.30pm pub
8,-1,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ok lor thk nt ticket cos like late u wan 2 look 4 ur fren darren wif
9,-1,Wat r u doing now?,wat r u
10,-1,Buy one egg for me da..please:),buy egg da
11,-1,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,reason ' ve speak year anyways great week good exam
12,-1,Stop the story. I've told him i've returned it and he's saying i should not re order it.,stop story ' ve tell ' ve return say order
13,-1,No. I dont want to hear anything,nt want hear
14,-1,I'm e person who's doing e sms survey...,' m e person e sms survey
15,-1,Mm i had my food da from out,mm food da
16,-1,"4 tacos + 1 rajas burrito, right?",4 taco + 1 rajas burrito right
17,-1,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",house maid murderer coz man murder 26th january
18,-1,Yes! How is a pretty lady like you single?,yes pretty lady like single
19,-1,(That said can you text him one more time?),say text time
20,-1,I know she called me,know call
21,-1,In sch but neva mind u eat 1st lor..,sch neva mind u eat 1st lor
22,0,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,lyricalladie 21 f invite friend reply yes-910 no-910 www.sms.ac/u/hmmross stop send stop frnd 62468
23,-1,Jay says that you're a double-faggot,jay say double faggot
24,-1,Ok i thk i got it. Then u wan me 2 come now or wat?,ok thk got u wan 2 come wat
25,1,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,ur award city break win £ 200 summer shopping spree wk txt store 88039 skilgme tscs ph_number
26,0,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello orange 1 month free access game news sport plus 10 free text 20 photo message reply yes term apply www.orange.co.uk/ow
27,-1,Whens your radio show?,s radio
28,-1,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",jane babes goin 2 wrk feel ill lst nite foned cover 4 chuck
29,0,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780","new offer save upto 40\% electricity bill power saver govt lab test r 1050/- free home delivery 3 yr guarantee 9891943823 , ph_number"
30,-1,What * u wearing?,u wear
31,-1,o turns out i had stereo love on mi phone under the unknown album.,o turn stereo love mi phone unknown album
32,-1,"Ela kano.,il download, come wen ur free..","ela kano , il download come wen ur free"
33,-1,"Haha figures, well I found the piece and priscilla's bowl",haha figure find piece priscilla bowl
34,-1,Can you do online transaction?,online transaction
35,-1,Ü neva tell me how i noe... I'm not at home in da aft wat...,u neva tell noe ' m home da aft wat
36,1,	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,win value vodafone customer computer pick win £ 150 prize collect easy ph_number
37,0,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,recieve tone 24hr term condition channel u teletext pg 750
38,-1,What you doing?how are you?,doing?how
39,-1,I didn't get the second half of that message,second half message
40,1,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,phony £ 350 award today voda number end xxxx select receive £ 350 award match ph_number quote claim code 3100 standard rates app
41,-1,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,help u swoop pick u ur bird r meet u want
42,-1,Ok lor�whats up�,ok lor s
43,-1,Hello madam how are you ?,hello madam
44,-1,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,actually sleep u text gr8 rock si send u text wen wake
45,-1,Good. do you think you could send me some pix? I would love to see your top and bottom...,good think send pix love
46,1,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,apple d buxcx7gbvwwccod final notification apple 1d expire today prevent confirm apple d http://verifyapple.uk apple inc
47,-1,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,hey mate s u honey?did u ave good holiday gimmi de goss!x
48,-1,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",anybody number think tactful way ask alex
49,-1,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",' m take derek taylor walmart ' m time leave mouse desk text priscilla ready
50,-1,Ok..let me knw,ok let knw
51,-1,You are a very very very very bad girl. Or lady.,bad girl lady
52,1,	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end 7548 select receive $ 350 award match ph_number quote claim code 4041 standard rates app
53,-1,K then 2marrow are you coming to class.,k 2marrow come class
54,-1,Kallis wont bat in 2nd innings.,kallis will not bat 2nd innings
55,-1,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,meet u work tel shall work tomorrow .that matter
56,0,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,overcome programming challenge multicore learn technique scale reliability attend intel session 3.45 pm microsoft community techdays
57,-1,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",haha leg neck kill amigo hope end night burn think swing like hour
58,-1,Every day i use to sleep after  &lt;#&gt;  so only.,day use sleep
59,-1,"Sorry, have urgent work..",sorry urgent work
60,-1,Good Morning plz call me sir..I have an urgent work..,good morning plz sir urgent work
61,-1,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,oh shut omg yesterday dream 2 kid boy piss kid boy tell mark dream change diaper cause ' m getting owe face
62,-1,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",ahhhh wake up!had bad dream u tho not like u right not know comedy night guess m
63,-1,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,hard believe thing like lie think twice say
64,-1,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),wow think common ur freak u chop
65,0,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",5 free polyphonic tone ph_number national rate toppoly tune send week text subpoly 81618 £ 3 pole unsub ph_number
66,-1,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,yup msg tat yijue tot group mate cos meeting today mah ' m askin u leave early wat mah cos mayb u haf walk v far
67,-1,You need to get up. Now.,need
68,1,	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service announcement freephone ph_number
69,-1,Howz pain?hope u r fine..,howz pain?hope u r fine
70,-1,Love it! The girls at the office may wonder why you are smiling but sore...,love girl office wonder smiling sore
71,1,	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,< forward ph_number > ph_number immediately urgent message wait
